county,state_full,cumulative_cases,State_x,county_pop,percent_cases,FIPS State,FIPS County,FIPS
Barbour,Alabama,7582,AL,24706.0,0.30688901481421516,01,005,01005
Chilton,Alabama,13073,AL,45884.0,0.2849141312875948,01,021,01021
Choctaw,Alabama,2260,AL,12439.0,0.18168663075809952,01,023,01023
Clay,Alabama,5223,AL,14198.0,0.3678687139033667,01,027,01027
Cleburne,Alabama,4460,AL,15346.0,0.2906294799947869,01,029,01029
Colbert,Alabama,21616,AL,58033.0,0.37247772818913377,01,033,01033
Henry,Alabama,5915,AL,17655.0,0.3350325686774285,01,067,01067
Jefferson,Alabama,240736,AL,665409.0,0.36178651025158964,01,073,01073
Lauderdale,Alabama,30743,AL,95878.0,0.3206470723210747,01,077,01077
Lee,Alabama,48087,AL,180773.0,0.2660076449469777,01,081,01081
Limestone,Alabama,32491,AL,110900.0,0.29297565374211,01,083,01083
Marengo,Alabama,6118,AL,18745.0,0.3263803680981595,01,091,01091
Monroe,Alabama,6796,AL,19404.0,0.3502370645227788,01,099,01099
Montgomery,Alabama,74623,AL,226361.0,0.32966367881392994,01,101,01101
Randolph,Alabama,6593,AL,22479.0,0.2932959651230037,01,111,01111
Shelby,Alabama,78788,AL,230115.0,0.3423853290745931,01,117,01117
Bethel,Alaska,13345,AK,18257.0,0.7309525113655037,02,050,02050
Bristol Bay,Alaska,0,AK,865.0,0.0,02,060,02060
Dillingham,Alaska,2270,AK,4723.0,0.48062672030489095,02,070,02070
Fairbanks North Star,Alaska,32483,AK,95356.0,0.34064977557783466,02,090,02090
Kodiak Island,Alaska,5720,AK,12720.0,0.449685534591195,02,150,02150
Apache,Arizona,37934,AZ,65432.0,0.5797469128255288,04,001,04001
Maricopa,Arizona,1545350,AZ,4551524.0,0.33952364087281534,04,013,04013
Benton,Arkansas,80710,AR,302863.0,0.2664901292003315,05,007,05007
Clay,Arkansas,5291,AR,14265.0,0.37090781633368386,05,021,05021
Columbia,Arkansas,7102,AR,22216.0,0.3196795102628736,05,027,05027
Crawford,Arkansas,19044,AR,61075.0,0.31181334424887436,05,033,05033
Faulkner,Arkansas,43861,AR,127665.0,0.34356323189597776,05,045,05045
Fulton,Arkansas,3298,AR,12382.0,0.26635438539815864,05,049,05049
Grant,Arkansas,5525,AR,18160.0,0.3042400881057269,05,053,05053
Independence,Arkansas,13051,AR,37945.0,0.34394518381868494,05,063,05063
Izard,Arkansas,4830,AR,14048.0,0.34382118451025057,05,065,05065
Lincoln,Arkansas,5530,AR,12916.0,0.4281511303809229,05,079,05079
Newton,Arkansas,2093,AR,7078.0,0.29570500141282846,05,101,05101
Phillips,Arkansas,5920,AR,15304.0,0.3868269733403032,05,107,05107
Polk,Arkansas,4738,AR,19337.0,0.24502249573356777,05,113,05113
Prairie,Arkansas,2482,AR,8069.0,0.3075969760812988,05,117,05117
Pulaski,Arkansas,129635,AR,399145.0,0.3247817209284846,05,119,05119
Randolph,Arkansas,6681,AR,18837.0,0.3546743111960503,05,121,05121
St Francis,Arkansas,8603,AR,22451.0,0.38319005834929404,05,123,05123
Searcy,Arkansas,2613,AR,7918.0,0.3300075776711291,05,129,05129
Union,Arkansas,11612,AR,37752.0,0.3075863530408985,05,139,05139
Amador,California,11705,CA,41412.0,0.2826475417753308,06,005,06005
Contra Costa,California,299781,CA,1156966.0,0.2591096021836424,06,013,06013
El Dorado,California,39610,CA,192646.0,0.2056102903771685,06,017,06017
Kings,California,67803,CA,152981.0,0.44321190213163725,06,031,06031
Lassen,California,11368,CA,29904.0,0.3801498127340824,06,035,06035
Mendocino,California,21893,CA,89783.0,0.24384348930198368,06,045,06045
Nevada,California,22826,CA,102293.0,0.2231433235900795,06,057,06057
Plumas,California,4330,CA,19351.0,0.22376104594077825,06,063,06063
Riverside,California,782912,CA,2473902.0,0.3164684777327477,06,065,06065
San Benito,California,18997,CA,67579.0,0.28110803652022076,06,069,06069
San Luis Obispo,California,75375,CA,282013.0,0.2672749128586271,06,079,06079
Santa Barbara,California,121122,CA,443837.0,0.27289748263439056,06,083,06083
Santa Clara,California,504864,CA,1870945.0,0.26984438345328166,06,085,06085
Siskiyou,California,9019,CA,43660.0,0.20657352267521759,06,093,06093
Stanislaus,California,169992,CA,551275.0,0.3083615255543966,06,099,06099
Tuolumne,California,18082,CA,54531.0,0.33159120500265904,06,109,06109
Ventura,California,240803,CA,832605.0,0.2892163751118478,06,111,06111
Adams,Colorado,167894,CO,527575.0,0.31823721745723355,08,001,08001
Alamosa,Colorado,6037,CO,16592.0,0.3638500482160077,08,003,08003
Archuleta,Colorado,3599,CO,14003.0,0.25701635363850606,08,007,08007
Baca,Colorado,1063,CO,3432.0,0.3097319347319347,08,009,08009
Broomfield,Colorado,18580,CO,76121.0,0.2440850750778366,08,014,08014
Chaffee,Colorado,5722,CO,20223.0,0.28294516144983434,08,015,08015
Cheyenne,Colorado,393,CO,1732.0,0.22690531177829099,08,017,08017
Conejos,Colorado,2334,CO,7579.0,0.3079561947486476,08,021,08021
Costilla,Colorado,990,CO,3603.0,0.27477102414654453,08,023,08023
Custer,Colorado,846,CO,5335.0,0.15857544517338332,08,027,08027
Douglas,Colorado,101830,CO,375988.0,0.2708331116950541,08,035,08035
Fremont,Colorado,19050,CO,49621.0,0.38391003808871244,08,043,08043
Gilpin,Colorado,1181,CO,5891.0,0.2004753013070786,08,047,08047
Huerfano,Colorado,1804,CO,7082.0,0.25473030217452697,08,055,08055
Jackson,Colorado,197,CO,1302.0,0.15130568356374807,08,057,08057
La Plata,Colorado,16053,CO,56607.0,0.2835868355503736,08,067,08067
Logan,Colorado,8688,CO,20823.0,0.41723094654948856,08,075,08075
Montezuma,Colorado,7790,CO,26468.0,0.2943176666162914,08,083,08083
Montrose,Colorado,11349,CO,43811.0,0.2590445321951108,08,085,08085
Otero,Colorado,5394,CO,18303.0,0.2947057859367317,08,089,08089
Pueblo,Colorado,62984,CO,169544.0,0.37149058651441513,08,101,08101
Summit,Colorado,12099,CO,30565.0,0.3958449206608866,08,117,08117
Teller,Colorado,5960,CO,24857.0,0.23977149293961458,08,119,08119
Washington,Colorado,1269,CO,4812.0,0.263715710723192,08,121,08121
Weld,Colorado,107490,CO,350176.0,0.30695992872155714,08,123,08123
Middlesex,Connecticut,39125,CT,,,09,007,09007
New London,Connecticut,74454,CT,,,09,011,09011
Windham,Connecticut,31630,CT,,,09,015,09015
Baker,Florida,10740,FL,27803.0,0.3862892493615797,12,003,12003
Bay,Florida,55587,FL,185134.0,0.30025278987112036,12,005,12005
Duval,Florida,318572,FL,1016536.0,0.31338978649059157,12,031,12031
Franklin,Florida,3553,FL,12498.0,0.28428548567770845,12,037,12037
Glades,Florida,2315,FL,12454.0,0.18588405331620364,12,043,12043
Gulf,Florida,5064,FL,15314.0,0.33067781115319317,12,045,12045
Indian River,Florida,42923,FL,167352.0,0.2564833405038482,12,061,12061
Lafayette,Florida,3154,FL,7786.0,0.4050860518880041,12,067,12067
Manatee,Florida,123987,FL,429125.0,0.2889297990096126,12,081,12081
Marion,Florida,106050,FL,396415.0,0.26752267194732793,12,083,12083
St Lucie,Florida,96352,FL,358704.0,0.26861144564878003,12,111,12111
Sarasota,Florida,122150,FL,462286.0,0.2642303682136167,12,115,12115
Taylor,Florida,8102,FL,21283.0,0.3806794154959357,12,123,12123
Union,Florida,5117,FL,15460.0,0.33098318240620955,12,125,12125
Baker,Georgia,657,GA,2788.0,0.23565279770444764,13,007,13007
Ben Hill,Georgia,5004,GA,17069.0,0.2931630441150624,13,017,13017
Bibb,Georgia,45860,GA,156197.0,0.2936035903378426,13,021,13021
Brantley,Georgia,4691,GA,18183.0,0.25798823076500027,13,025,13025
Brooks,Georgia,4089,GA,16253.0,0.25158432289423494,13,027,13027
Bryan,Georgia,11297,GA,48225.0,0.23425609123898394,13,029,13029
